Order,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2 (self-reported),Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area (ft²),Self-Reported Gross Floor Area (ft²),Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Propane Use (kBtu),District Steam Use (kBtu),District Hot Water Use (kBtu),District Chilled Water Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kWh),Weather Normalized Site Electricity (kWh),Annual Maximum Demand (kW),Annual Maximum Demand (MM/YYYY),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Water Use Intensity (All Water Sources) (gal/ft²),Water Required?,Generation Date,DOF Benchmarking Submission Status
9967,6341923,Cooperative Village,6341923,Cooperative Village,1002630008;1003210001;1003310065;1003310200;1003310120;1002660065,1002630008;1003210001;1003310065;1003310200;1003310120;1002660065,1083419;1083420;1811515;1811516;1811517 ;1811518 ;1811519 ;1811520;108472;1083400 ;1811496 ;1083401;1811497;1004067:;1004065;1804190;1076783;1811521;1811522;1811523;1811524;1811525;1811526;1811527;1811528;1811529;1811530;1076784;1003219   ,530 Grand Street,,10002,Not found,Not found,Manhattan, Not found ,3199320,Multifamily Housing,Multifamily Housing,Multifamily Housing,3199320,,,,,1950,6,100,Whole Building,Whole Building,37,127.5,,89.5,,4.7,0.7,,13149330.9,,,,,,,,221782667.3,2384297.9,51562749,15112175.5,15148135.9,,,17327.3,12755.7,4571.5,7442.2,2.33,Not found,5/18/2018,Not found
9978,6341923,Cooperative Village,6341923,Cooperative Village,1002630008;1003210001;1003310065;1003310200;1003310120;1002660065,1002630008;1003210001;1003310065;1003310200;1003310120;1002660065,1083419;1083420;1811515;1811516;1811517 ;1811518 ;1811519 ;1811520;108472;1083400 ;1811496 ;1083401;1811497;1004067:;1004065;1804190;1076783;1811521;1811522;1811523;1811524;1811525;1811526;1811527;1811528;1811529;1811530;1076784;1003219   ,530 Grand Street,,10002,Not found,Not found,Manhattan, Not found ,3199320,Multifamily Housing,Multifamily Housing,Multifamily Housing,3199320,,,,,1950,6,100,Whole Building,Whole Building,37,127.5,,89.5,,4.7,0.7,,13149330.9,,,,,,,,221782667.3,2384297.9,51562749,15112175.5,15148135.9,,,17327.3,12755.7,4571.5,7442.2,2.33,Not found,5/18/2018,Not found
10004,6341923,Cooperative Village,6341923,Cooperative Village,1002630008;1003210001;1003310065;1003310200;1003310120;1002660065,1002630008;1003210001;1003310065;1003310200;1003310120;1002660065,1083419;1083420;1811515;1811516;1811517 ;1811518 ;1811519 ;1811520;108472;1083400 ;1811496 ;1083401;1811497;1004067:;1004065;1804190;1076783;1811521;1811522;1811523;1811524;1811525;1811526;1811527;1811528;1811529;1811530;1076784;1003219   ,530 Grand Street,,10002,Not found,Not found,Manhattan, Not found ,3199320,Multifamily Housing,Multifamily Housing,Multifamily Housing,3199320,,,,,1950,6,100,Whole Building,Whole Building,37,127.3,,89.5,,4.7,0.7,,13149330.9,,,,,,,,221782667.3,2384297.9,51343084.7,15047795.6,15079742.4,,,17307.8,12755.7,4552,7442.2,2.33,Not found,5/22/2018,Not found
10011,6341923,Cooperative Village,6341923,Cooperative Village,1002630008;1003210001;1003310065;1003310200;1003310120;1002660065,1002630008;1003210001;1003310065;1003310200;1003310120;1002660065,1083419;1083420;1811515;1811516;1811517 ;1811518 ;1811519 ;1811520;108472;1083400 ;1811496 ;1083401;1811497;1004067:;1004065;1804190;1076783;1811521;1811522;1811523;1811524;1811525;1811526;1811527;1811528;1811529;1811530;1076784;1003219   ,530 Grand Street,,10002,Not found,Not found,Manhattan, Not found ,3199320,Multifamily Housing,Multifamily Housing,Multifamily Housing,3199320,,,,,1950,6,100,Whole Building,Whole Building,37,127.3,,89.5,,4.7,0.7,,13149330.9,,,,,,,,221782667.3,2384297.9,51343084.7,15047795.6,15079742.4,,,17307.8,12755.7,4552,7442.2,2.33,Not found,5/22/2018,Not found
10103,3618215,601 W 112 and 600 W 113,3618215,601 W 112 and 600 W 113,1018950016;1018950023;1018950055,1018950016;1018950023;1018950055,1057337;1057336;1057350,601 West 112th Street,,10027,Not found,Not found,Manhattan, Not found ,338996,Other,Other,Other,338996,,,,,1909,3,100,Whole Building,,,50.8,55.6,39.9,44.4,1.3,0.4,,,,,,,,,,12070100,136047.3,1451952.8,425543,425543,,,769.8,641.1,128.7,,,Not found,5/22/2018,Not found
10104,3618219,430 W 119 ET AL,3618219,430 W 119 ET AL,1019620026;1019620006;1019620031,1019620026;101962006;1019620031,1059507;1059513;1059508,430 west 119th Street,,10027,Not found,Not found,Manhattan, Not found ,166302,Other,Other,Other,166302,,,,,1910,3,100,Whole Building,,,36.5,36.6,29.6,29.6,0.8,0.3,,,,,,,,,,4491899.7,44919,429570.8,125900,127805.9,,,276.7,238.6,38.1,,,Not found,5/22/2018,Not found
10113,2809896,560 Riverside Drive,2809896,560 Riverside Drive,1019950053;1019950063,1019950053;1019950063,1059890;1059891,560 Riverside Drive,,10027,Not found,Not found,Manhattan, Not found ,535632,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,535632,,,,,1964,2,100,Whole Building,Whole Building,,120.3,131.1,114.5,124.8,0,1.2,,,,,,,,,,61343999.9,668462.5,8618.7,2526,2526,,,3259,3258.3,0.8,8764.9,16.36,Not found,5/22/2018,Not found
10155,6324342,Manhattanville,6324342,Manhattanville,1019980017;1019860065;1019950031;1019960023;1019950044;,1019980017;1019860065;1019950031; 1019960023;1019950044;,1059727;1059889;1059886;1089936;1059927,622 W 132nd Street,,10027,Not found,Not found,Manhattan, Not found ,1042836,College/University,College/University,College/University,1042836,,,,,2016,6,100,Whole Building,,,375.2,375.2,161.8,161.8,28.8,0.6,,,,,,,,,,66260502,662605,102447066.3,30025514,30025514,,,12602.3,3519.4,9082.9,,,Not found,5/22/2018,Not found
10157,3612678,Columbia University (morningside),3612678,Columbia University (morningside),1018850037;1019900029;1019900050;1019900044;1018850043;1019730001;1018857501;1018670042;1018860001;1018850061;1019610039;1019900005;1018670067;1018850040;1019610001;1018670074,1018850037;1019900029;1019900050;1019900044;1018850043;1019730001;1018857501;1018670042;1018860001;1018850061;1019610039;1019900005;1018670067;1018850040;1019610001;1018670074,1057033;1059823;1059828;1059827;1057035;1082166;1084460;1057018;1085710;1082165;1082692;1084476;1084469;1084467;1084459;1084465;1084458;1057049;1084845;1084846;1082160;1082163;1082164;1083610;1082159;1084477;1083301;1084472;1084468;1084473;1084463;1084461;1076680;1059498;1059497;1059834;1059818;1056055;1057034;1084474;1083609;1809321;1084464;1084475;1056058;1084471;1084466;1084470,410 West 118th Street,B-230,10027,Not found,Not found,Manhattan, Not found ,6385382,College/University,College/University,College/University,6386382,,,,,1897,56,100,Whole Building,,,321.2,321.2,187,187,17.5,1.3,,,,,,,,,,812867778,8128677.8,381447882.2,111795966,111795966,,,76994.2,43175.3,33818.9,,,Not found,5/22/2018,Not found
10158,3618216,435 W 119 and 434 W 120,3618216,435 W 119 and 434 W 120,1019620070;1019620038,1019620070;1019620038,1059514;1059510,435 W 119th Street,,10027,Not found,Not found,Manhattan, Not found ,176351,Other,Other,Other,176351,,,,,1964,2,100,Whole Building,,,17.2,16.8,9.4,8.9,1,0.1,,,,,,,,,,1036200,9399.8,620874.8,181968,184651.1,,,110.1,55,55,,,Not found,5/22/2018,Not found
10204,6356750,Gateway I & II - Campus,6356750,Gateway I & II - Campus,1017740017;1017740056,1017740017; 1017740056,1087087; 1054488,2082 Lexington Avenue,,10035,Not found,Not found,Manhattan, Not found ,138000,Office,"Office, Residence Hall/Dormitory, Retail Store",Office,95000,Retail Store,28000,Residence Hall/Dormitory,15000,2000,2,100,Whole Building,,,109.9,111.6,50.2,51.9,8,0.2,,,,,,,,,,3142766.6,33865.5,3780710.2,1108062.6,1105111.8,,,502.1,166.9,335.2,,,Not found,5/23/2018,Not found
10305,6341923,Cooperative Village,6341923,Cooperative Village,1002630008;1003210001;1003310065;1003310200;1003310120;1002660065,1002630008;1003210001;1003310065;1003310200;1003310120;1002660065,1083419;1083420;1811515;1811516;1811517 ;1811518 ;1811519 ;1811520;108472;1083400 ;1811496 ;1083401;1811497;1004067:;1004065;1804190;1076783;1811521;1811522;1811523;1811524;1811525;1811526;1811527;1811528;1811529;1811530;1076784;1003219   ,530 Grand Street,,10002,Not found,Not found,Manhattan, Not found ,3199320,Multifamily Housing,Multifamily Housing,Multifamily Housing,3199320,,,,,1950,6,100,Whole Building,Whole Building,35,128.7,,89.9,,4.8,0.7,,13149330.9,,,,,,,,221782667.3,2384297.9,52696553.3,15444474.5,15487339.8,,,17427.8,12755.7,4672,7442.2,2.33,Not found,5/28/2018,Not found
11250,1633042,"M183, M390-0100154",,,1014610007;1014600000,"M183-1014610007, M390-1014610037","M183-1045569, M390-1087154",419 East 66th Street,408 East 67th Street,10065,Not found,Not found,Manhattan, Not found ,65287,K-12 School,K-12 School,K-12 School,65287,,,,,1904,2,100,Whole Building,,86,109.2,113.2,59.3,63.3,6.8,0.1,,,2045168,,,,,,,324800,3328.3,1504555.5,440959.9,440959.9,154.4,Jul-17,304.6,171.2,133.4,,,Not found,5/29/2018,Not found
11510,1836648,"X151, X156-0200195",,,"X1512024430190,X1562024430079","X151-2024430190, X156-2024430079","X151-2002458, X156-2002454",250 East 156th Street,750 Concourse Village West,10451,Not found,Not found,Bronx, Not found ,319200,K-12 School,K-12 School,K-12 School,319200,,,,,1971,2,100,Whole Building,,46,147,158.4,46.8,50.4,14.8,0,,,,,,,,,,0,0,14944559.9,4379999.4,4719402.6,1696.3,Jan-17,1325,0,1325,,,Not found,5/29/2018,Not found
11627,1633976,"K160, K521-0300163",,,"K1603056530021,K5213056530055","K160-3056530021, K521-3056530055","K160-3138276, K521-3398120",5105 Fort Hamilton Parkway,1057 52nd Street,11219,Not found,Not found,Brooklyn, Not found ,118800,K-12 School,K-12 School,K-12 School,118800,,,,,1909,2,100,Whole Building,,50,146.5,150,73.3,77.2,9.7,0.4,,317400,,,,,,,,4434400.4,49233.9,3957920.2,1159999.9,1150300.9,500,Jun-17,610,259.1,350.9,,,Not found,5/29/2018,Not found
12442,1633080,X420 and X423-0200221,,,2038640001;2038640012,"X420-2038640001, X423-2038640012","X420-2027459, X423-2117663",1300 Boynton Avenue,1551 E 172 Street,10472,Not found,Not found,Bronx, Not found ,426000,K-12 School,"K-12 School, Swimming Pool",K-12 School,426000,Swimming Pool,0,,,1924,2,100,Whole Building,,86,135.3,141.4,73.8,80.4,8.2,0.1,,15849577,,,,,,,,3539199.7,39715.4,12068926.3,3537199.5,3509404.2,1187.7,Jun-17,2434.2,1364.2,1070,,,Not found,5/29/2018,Not found
12884,2809896,560 Riverside Drive,2809896,560 Riverside Drive,1019950053;1019950063,1019950053;1019950063,1059890;1059891,560 Riverside Drive,,10027,Not found,Not found,Manhattan, Not found ,535632,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,535632,,,,,1964,2,100,Whole Building,Whole Building,,120.3,131.1,114.5,124.8,0,1.2,,,,,,,,,,61343999.9,668462.5,8618.7,2526,2526,,,3259,3258.3,0.8,8764.9,16.36,Not found,6/3/2018,Not found
12886,3618215,601 W 112 and 600 W 113,3618215,601 W 112 and 600 W 113,1018950016;1018950023;1018950055,1018950016;1018950023;1018950055,1057337;1057336;1057350,601 West 112th Street,,10027,Not found,Not found,Manhattan, Not found ,338996,Other,Other,Other,338996,,,,,1909,3,100,Whole Building,,,50.8,55.6,39.9,44.4,1.3,0.4,,,,,,,,,,12070100,136047.3,1451952.8,425543,425543,,,769.8,641.1,128.7,,,Not found,6/3/2018,Not found
12895,3618219,430 W 119 ET AL,3618219,430 W 119 ET AL,1019620026;1019620006;1019620031,1019620026;101962006;1019620031,1059507;1059513;1059508,430 west 119th Street,,10027,Not found,Not found,Manhattan, Not found ,166302,Other,Other,Other,166302,,,,,1910,3,100,Whole Building,,,36.5,36.6,29.6,29.6,0.8,0.3,,,,,,,,,,4491899.7,44919,429570.8,125900,127805.9,,,276.7,238.6,38.1,,,Not found,6/3/2018,Not found
12924,3612678,Columbia University (morningside),3612678,Columbia University (morningside),1018850037;1019900029;1019900050;1019900044;1018850043;1019730001;1018857501;1018670042;1018860001;1018850061;1019610039;1019900005;1018670067;1018850040;1019610001;1018670074,1018850037;1019900029;1019900050;1019900044;1018850043;1019730001;1018857501;1018670042;1018860001;1018850061;1019610039;1019900005;1018670067;1018850040;1019610001;1018670074,1057033;1059823;1059828;1059827;1057035;1082166;1084460;1057018;1085710;1082165;1082692;1084476;1084469;1084467;1084459;1084465;1084458;1057049;1084845;1084846;1082160;1082163;1082164;1083610;1082159;1084477;1083301;1084472;1084468;1084473;1084463;1084461;1076680;1059498;1059497;1059834;1059818;1056055;1057034;1084474;1083609;1809321;1084464;1084475;1056058;1084471;1084466;1084470,410 West 118th Street,B-230,10027,Not found,Not found,Manhattan, Not found ,6385382,College/University,College/University,College/University,6386382,,,,,1897,56,100,Whole Building,,,321.2,321.2,187,187,17.5,1.3,,,,,,,,,,812867778,8128677.8,381447882.2,111795966,111795966,,,76994.2,43175.3,33818.9,,,Not found,6/3/2018,Not found
12926,6324342,Manhattanville,6324342,Manhattanville,1019980017;1019860065;1019950031;1019960023;1019950044;,1019980017;1019860065;1019950031; 1019960023;1019950044;,1059727;1059889;1059886;1089936;1059927,622 W 132nd Street,,10027,Not found,Not found,Manhattan, Not found ,1042836,College/University,College/University,College/University,1042836,,,,,2016,6,100,Whole Building,,,375.2,375.2,161.8,161.8,28.8,0.6,,,,,,,,,,66260502,662605,102447066.3,30025514,30025514,,,12602.3,3519.4,9082.9,,,Not found,6/3/2018,Not found
12929,3618216,435 W 119 and 434 W 120,3618216,435 W 119 and 434 W 120,1019620070;1019620038,1019620070;1019620038,1059514;1059510,435 W 119th Street,,10027,Not found,Not found,Manhattan, Not found ,176351,Other,Other,Other,176351,,,,,1964,2,100,Whole Building,,,17.2,16.8,9.4,8.9,1,0.1,,,,,,,,,,1036200,9399.8,620874.8,181968,184651.1,,,110.1,55,55,,,Not found,6/3/2018,Not found
13205,5786998,247 N 7th St,5786998,247 N 7th St,3023220010;3023220028,3-02322-0010;3-02322-0028,3397906;3418435,248 N 8th & 247 N 7th St,,11211,Not found,Not found,Brooklyn, Not found ,227969,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,227969,Parking,17609,,,2015,2,100,Whole Building,Whole Building,92,78,79.9,32.9,34.7,6.1,0.1,,,,,,,,,,2767727.6,31826,4735338.2,1387848.1,1387848.1,,,566.8,147,419.8,2663.5,11.68,Not found,6/13/2018,Not found
13216,3102345,CHRISTIAN CULTRAL CENTER INC,,,3044340001;3044320001;3044310200;3044310001,3-04434-0001;3-04432-0001;3-04431-0200;3-04431-0001,3348861;3814970;3851234;3814975,12040 FLATLANDS AVE ,,11207,Not found,Not found,Brooklyn, Not found ,90100,Worship Facility,Worship Facility,Worship Facility,90100,,,,,1997,1,100,Whole Building,,2,268.6,274.4,140.3,147.2,16.8,0.9,,,,,,,,,,7416265.5,81005.5,5225939.6,1531635.1,1513722.9,,,857.2,393.9,463.3,,,Not found,6/13/2018,Not found
13237,6382949,Fort Wash Capital LLC 38-46,6382949,Fort Wash Capital LLC 38-46,1021370065;1021370058,1021370065; 1021370058,1063361; 1063360,38 Fort Washington Avenue,,10032,Not found,Not found,Manhattan, Not found ,117276,Multifamily Housing,"Multifamily Housing, Office",Multifamily Housing,112276,Office,5000,,,1950,2,100,Whole Building,Whole Building,58,130.1,,98.1,,4.2,,,,,,,,,,,507241.9,,1698579.5,497825.1,494843.9,,,867.8,717.2,150.6,5818.3,49.61,Not found,6/15/2018,Not found
13238,6383004,Gold River Capital LLC 839-853,6383004,Gold River Capital LLC 839-853,1021350013;1021350017;1021350020,1021350013; 1021350017; 1021350020,1063289; 1063290; 1063291,839 Riverside Drive,,10032,Not found,Not found,Manhattan, Not found ,194364,Multifamily Housing,Multifamily Housing,Multifamily Housing,194364,,,,,1921,3,100,Whole Building,Whole Building,45,122.4,,94.8,,3.5,,,6889373.8,4231955.6,,,,,,,4972130.2,,2334107.6,684087.7,684087.7,,,1300.9,1094,206.9,12508.1,64.35,Not found,6/15/2018,Not found
13239,6383029,Sunshine Capital LLC 620-621,6383029,Sunshine Capital LLC 620-621,1021420073;1021420066,1021420073; 1021420066,1063486; 1063485,620 West 172nd Street,,10032,Not found,Not found,Manhattan, Not found ,114357,Mixed Use Property,"Multifamily Housing, Retail Store",Multifamily Housing,99357,Retail Store,15000,,,1922,2,100,Whole Building,,80,106.2,,64.3,,,0.4,,552000,,,,,,,,4674393.7,50395.6,2128826.7,623923.4,,,,478,289.2,188.7,,,Not found,6/15/2018,Not found
13314,2809896,560 Riverside Drive,2809896,560 Riverside Drive,1019950053;1019950063,1019950053;1019950063,1059890;1059891,560 Riverside Drive,,10027,Not found,Not found,Manhattan, Not found ,535632,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,535632,,,,,1964,2,100,Whole Building,Whole Building,,120.3,131.1,114.5,124.8,0,1.2,,,,,,,,,,61343999.9,668462.5,8618.7,2526,2526,,,3259,3258.3,0.8,8764.9,16.36,Not found,6/15/2018,Not found
13316,3618215,601 W 112 and 600 W 113,3618215,601 W 112 and 600 W 113,1018950016;1018950023;1018950055,1018950016;1018950023;1018950055,1057337;1057336;1057350,601 West 112th Street,,10027,Not found,Not found,Manhattan, Not found ,338996,Other,Other,Other,338996,,,,,1909,3,100,Whole Building,,,50.8,55.6,39.9,44.4,1.3,0.4,,,,,,,,,,12070100,136047.3,1451952.8,425543,425543,,,769.8,641.1,128.7,,,Not found,6/15/2018,Not found
13317,3618219,430 W 119 ET AL,3618219,430 W 119 ET AL,1019620026;1019620006;1019620031,1019620026;101962006;1019620031,1059507;1059513;1059508,430 west 119th Street,,10027,Not found,Not found,Manhattan, Not found ,166302,Other,Other,Other,166302,,,,,1910,3,100,Whole Building,,,36.5,36.6,29.6,29.6,0.8,0.3,,,,,,,,,,4491899.7,44919,429570.8,125900,127805.9,,,276.7,238.6,38.1,,,Not found,6/15/2018,Not found
13356,6324342,Manhattanville,6324342,Manhattanville,1019980017;1019860065;1019950031;1019960023;1019950044;,1019980017;1019860065;1019950031; 1019960023;1019950044;,1059727;1059889;1059886;1089936;1059927,622 W 132nd Street,,10027,Not found,Not found,Manhattan, Not found ,1042836,College/University,College/University,College/University,1042836,,,,,2016,6,100,Whole Building,,,375.2,375.2,161.8,161.8,28.8,0.6,,,,,,,,,,66260502,662605,102447066.3,30025514,30025514,,,12602.3,3519.4,9082.9,,,Not found,6/15/2018,Not found
13363,3612678,Columbia University (morningside),3612678,Columbia University (morningside),1018850037;1019900029;1019900050;1019900044;1018850043;1019730001;1018857501;1018670042;1018860001;1018850061;1019610039;1019900005;1018670067;1018850040;1019610001;1018670074,1018850037;1019900029;1019900050;1019900044;1018850043;1019730001;1018857501;1018670042;1018860001;1018850061;1019610039;1019900005;1018670067;1018850040;1019610001;1018670074,1057033;1059823;1059828;1059827;1057035;1082166;1084460;1057018;1085710;1082165;1082692;1084476;1084469;1084467;1084459;1084465;1084458;1057049;1084845;1084846;1082160;1082163;1082164;1083610;1082159;1084477;1083301;1084472;1084468;1084473;1084463;1084461;1076680;1059498;1059497;1059834;1059818;1056055;1057034;1084474;1083609;1809321;1084464;1084475;1056058;1084471;1084466;1084470,410 West 118th Street,B-230,10027,Not found,Not found,Manhattan, Not found ,6385382,College/University,College/University,College/University,6386382,,,,,1897,56,100,Whole Building,,,321.2,321.2,187,187,17.5,1.3,,,,,,,,,,812867778,8128677.8,381447882.2,111795966,111795966,,,76994.2,43175.3,33818.9,,,Not found,6/15/2018,Not found
13364,3618216,435 W 119 and 434 W 120,3618216,435 W 119 and 434 W 120,1019620070;1019620038,1019620070;1019620038,1059514;1059510,435 W 119th Street,,10027,Not found,Not found,Manhattan, Not found ,176351,Other,Other,Other,176351,,,,,1964,2,100,Whole Building,,,17.2,16.8,9.4,8.9,1,0.1,,,,,,,,,,1036200,9399.8,620874.8,181968,184651.1,,,110.1,55,55,,,Not found,6/15/2018,Not found
13556,5925243,Co Op City,5925243,Co Op City,2051410120;2051410700;2051410600;2051350210;2051410500;2051410100;2051350051;2051410440;2051350090,2051410120; 2051410700; 2051410600; 2051350210; 2051410500; 2051410100; 2051350051; 2051410440; 2051350090,2123738  ; 2123740  ; 2123742  ; 2103128  ; 2123868  ; 2124122  ; 2124123  ; 2124124  ; 2124125  ; 2124126  ; 2124128  ; 2124129  ; 2124130  ; 2124131  ; 2124132  ; 2124133  ; 2124134  ; 2124136  ; 2124137  ; 2124138  ; 2124139  ; 2124140  ; 2124141  ; 2124143  ; 2124144  ; 2124145  ; 2124146  ; 2124147  ; 2124148  ; 2124149  ; 2095386  ; 2095387  ; 2095388  ; 2095389  ; 2095390  ; 2095391  ; 2095392  ; 2095393  ; 2095394  ; 2095395  ; 2095396  ; 2095397  ; 2095398  ; 2124150  ; 2124151  ; 2124152  ; 2124153  ; 2124154  ; 2124155  ; 2124156  ; 2124158  ; 2124159  ; 2124160  ; 2124161  ; 2124162  ; 2124163  ; 2124164  ; 2124165  ; 2124166  ; 2124167  ; 2124168  ; 2124169  ; 2124170  ; 2124171  ; 2124172  ; 2124173  ; 2124175  ; 2124176  ; 2124177  ; 2124178  ; 2124179  ; 2124180  ; 2124182  ; 2124183  ; 2124184  ; 2124185  ; 2124186  ; 2096043  ; 2103135  ; 2103136  ; 2103137  ; 2103138  ; 2103130  ; 2103126  ; 2103129  ; 2103127  ; 2103131  ; 2103132  ; 2103133  ; 2103134  ; 2100959  ; 2100962  ; 2100965  ; 2096814  ; 2100966  ; 2100967  ; 2100968  ; 2100969  ; 2100970  ; 2096044  ; 2096045  ; 2096753  ; 2096754  ; 2096755  ; 2096806  ; 2096807  ; 2096808  ; 2096809  ; 2096810  ; 2096811  ; 2096812  ; 2096813  ; 2097914  ; 2800371  ; 2820397  ; 2100964  ; 2100961  ; 2124554  ; 2124599  ; 2124552  ; 2124553  ; 2124555  ; 2124556  ; 2124557  ; 2124558  ; 2124559  ; 2124560  ; 2124561  ; 2124562  ; 2124563  ; 2124564  ; 2124565  ; 2124566  ; 2124567  ; 2124568  ; 2124569  ; 2124570  ; 2124571  ; 2124573  ; 2124574  ; 2124575  ; 2124576  ; 2124577  ; 2124578  ; 2124579  ; 2124580  ; 2124582  ; 2124583  ; 2124584  ; 2124585  ; 2124586  ; 2124587  ; 2124588  ; 2124589  ; 2124590  ; 2124591  ; 2124592  ; 2124593  ; 2124594  ; 2124595  ; 2124596  ; 2124597  ; 2124600  ; 2124601  ; 2124602  ; 2124603  ; 2100958  ; 2100960  ; 2096041  ; 2123737  ; 2123739  ; 2123741  ; 2123743  ; 2124127  ; 2124157  ; 2124174  ; 2124181  ; 2124581  ; 2100963  ; 2093853  ; 2093851  ; 2093852  ; 2093856  ; 2093858  ; 2093859  ; 2093860  ; 2093861  ; 2093862  ; 2093863  ; 2093864  ; 2810587  ; 2810586  ; 2819739  ; 2819740  ; 2093855  ; 2093857  ; 2123535  ; 2123540  ; 2123547  ; 2123555  ; 2123594  ; 2123599  ; 2123606  ; 2123610  ; 2123615  ; 2123620  ; 2123624  ; 2123628  ; 2123632  ; 2093854  ; 2072369  ; 2095160  ; 2095159  ; 2097468  ; 2097469  ; 2804157  ; 2097467  ; 2097466  ; 2099380  ; 2820926  ; 2824674  ; 2072351,Co Op City Boulevard,,10475,Not found,Not found,Bronx, Not found ,21150159,Multifamily Housing,"Energy/Power Station, Multifamily Housing, Parking, Retail Store",Multifamily Housing,19081144,Retail Store,1758015,Parking,892545,1971,35,100,Whole Building,Whole Building,60,135.2,140.1,122.4,127.1,1,1.2,,,,,81932048.2,,,,,2437139226,25366172.9,69168543.4,20272138,20272138,,,141660.7,135528.3,6132.4,,,Not found,6/27/2018,Not found
13723,2809896,560 Riverside Drive,2809896,560 Riverside Drive,1019950053;1019950063,1019950053;1019950063,1059890;1059891,560 Riverside Drive,,10027,Not found,Not found,Manhattan, Not found ,535632,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,535632,,,,,1964,2,100,Whole Building,Whole Building,,120.3,131.1,114.5,124.8,0,1.2,,,,,,,,,,61343999.9,668462.5,8618.7,2526,2526,,,3259,3258.3,0.8,8764.9,16.36,Not found,7/1/2018,Not found
13756,3618215,601 W 112 and 600 W 113,3618215,601 W 112 and 600 W 113,1018950016;1018950023;1018950055,1018950016;1018950023;1018950055,1057337;1057336;1057350,601 West 112th Street,,10027,Not found,Not found,Manhattan, Not found ,338996,Other,Other,Other,338996,,,,,1909,3,100,Whole Building,,,50.8,55.6,39.9,44.4,1.3,0.4,,,,,,,,,,12070100,136047.3,1451952.8,425543,425543,,,769.8,641.1,128.7,,,Not found,7/1/2018,Not found
13757,3618219,430 W 119 ET AL,3618219,430 W 119 ET AL,1019620026;1019620006;1019620031,1019620026;101962006;1019620031,1059507;1059513;1059508,430 west 119th Street,,10027,Not found,Not found,Manhattan, Not found ,166302,Other,Other,Other,166302,,,,,1910,3,100,Whole Building,,,36.5,36.6,29.6,29.6,0.8,0.3,,,,,,,,,,4491899.7,44919,429570.8,125900,127805.9,,,276.7,238.6,38.1,,,Not found,7/1/2018,Not found
13768,6324342,Manhattanville,6324342,Manhattanville,1019980017;1019860065;1019950031;1019960023;1019950044;,1019980017;1019860065;1019950031; 1019960023;1019950044;,1059727;1059889;1059886;1089936;1059927,622 W 132nd Street,,10027,Not found,Not found,Manhattan, Not found ,1042836,College/University,College/University,College/University,1042836,,,,,2016,6,100,Whole Building,,,375.2,375.2,161.8,161.8,28.8,0.6,,,,,,,,,,66260502,662605,102447066.3,30025514,30025514,,,12602.3,3519.4,9082.9,,,Not found,7/1/2018,Not found
