Order,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2 (self-reported),Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area (ft²),Self-Reported Gross Floor Area (ft²),Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Propane Use (kBtu),District Steam Use (kBtu),District Hot Water Use (kBtu),District Chilled Water Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kWh),Weather Normalized Site Electricity (kWh),Annual Maximum Demand (kW),Annual Maximum Demand (MM/YYYY),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Water Use Intensity (All Water Sources) (gal/ft²),Water Required?,Generation Date,DOF Benchmarking Submission Status
612,5846549,West Farms Square,5846549,West Farms Square,2031300020;2031310020;2031360001,2-03130-0020;2-03131-0020;2-03136-0001,2101907;2013248;2112834;2101193;2092385;2092386;,1 West Farms Square Plaza,,10460,Not found,Not found,Bronx, Not found ,532888,Multifamily Housing,Multifamily Housing,Multifamily Housing,532888,,,,,1972,6,100,Whole Building,Whole Building,5,207.2,213.2,161.8,167.6,5.2,1.5,,,,,,,,,,76680491.1,798658.9,9517314.6,2789365,2775067.8,,,4916.7,4072.9,843.8,,,Not found,3/29/2018,Not found
706,4895812,15 E 26th Street LLC,,,1008567503;1008560011,1-00856-7503;1-00856-0011,1016877,15 E 26TH Street,,10010,Not found,Not found,Manhattan, Not found ,292032,Mixed Use Property,"Multifamily Housing, Office, Retail Store",Multifamily Housing,151782,Office,132250,Retail Store,8000,1912,1,100,Whole Building,,42,197.1,199.7,88.8,91.9,14.7,0,,,11066800.1,,,,,,,152553.1,1593.2,14720015.5,4314189.2,4295786.7,,,2146.4,841.3,1305.1,8644.9,29.6,Not found,3/30/2018,Not found
1123,5846549,West Farms Square,5846549,West Farms Square,2031300020;2031310020;2031360001,2-03130-0020;2-03131-0020;2-03136-0001,2101907;2013248;2112834;2101193;2092385;2092386;,1 West Farms Square Plaza,,10460,Not found,Not found,Bronx, Not found ,532888,Multifamily Housing,Multifamily Housing,Multifamily Housing,532888,,,,,1972,6,100,Whole Building,Whole Building,5,207.2,213.2,161.8,167.6,5.2,1.5,,,,,,,,,,76680491.1,798658.9,9517314.6,2789365,2775067.8,,,4916.7,4072.9,843.8,,,Not found,4/6/2018,Not found
1153,4926122,Main Campus - Super Block,,,1014620005;1014620001,1-01462-0005;1-01462-0001,1087284;1045572,1275  York Ave,,10065,Not found,Not found,Manhattan, Not found ,1382117,Other - Specialty Hospital,Other - Specialty Hospital,Other - Specialty Hospital,1382117,,,,,1940,2,100,Whole Building,,,607,613,301.3,306.2,37,,,,,,,,241907234,,,,,174486466.2,51139051.9,51139051.9,,,31532.2,0,31532.2,,,Not found,4/6/2018,Not found
1158,2816577,Barouh Eaton Allen Corp.,,,3023020006;3023020001;3023020034,3023020006;3023020001;302302034,3061645;3061644;3061647;3061649,67 Kent Avenue,,11249,Not found,Not found,Brooklyn, Not found ,180000,Non-Refrigerated Warehouse,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,167000,Office,13000,,,1955,1,10,Whole Building,,,26,28.6,17.7,20.1,1,0.2,,,,,,,,,,2545928.9,29764.2,641654.5,188058.1,188058.1,,,192.1,135.2,56.9,127,0.71,Not found,4/6/2018,Not found
1160,2816577,Barouh Eaton Allen Corp.,,,3023020006;3023020001;3023020034,3023020006;3023020001;302302034,3061645;3061644;3061647;3061649,67 Kent Avenue,,11249,Not found,Not found,Brooklyn, Not found ,180000,Non-Refrigerated Warehouse,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,167000,Office,13000,,,1955,1,10,Whole Building,,,26,28.6,17.7,20.1,1,0.2,,,,,,,,,,2545928.9,29764.2,641654.5,188058.1,188058.1,,,192.1,135.2,56.9,127,0.71,Not found,4/6/2018,Not found
1262,5870918,NYLS-New York Law School,5870918,NYLS-New York Law School,1001760018;1001760001;1001760004,1001760018; 1001760001; 1001760004,1001967; 1001957; 1001958; 1001959,185 West Broadway ,,10013,Not found,Not found,Manhattan, Not found ,344852,College/University,College/University,College/University,344852,,,,,2009,3,100,Whole Building,Whole Building,,196.9,200,84.7,87.9,14.3,0,,,,,,,11689095.9,,,541981.3,5419.8,16965175.2,4972207.9,4931717.8,,,2309,28.8,2280.3,2751.4,7.98,Not found,4/9/2018,Not found
1354,6258027,St. Nicholas Greek Orthodox Church,,,4055200001;4055200047;4055200050,4-05520-0001;05520-0047;05520-0050,4124560;4121243;4121243,196-10 Northern Blvd,,11358,Not found,Not found,Queens, Not found ,80000,Worship Facility,"K-12 School, Parking, Worship Facility",K-12 School,75000,Worship Facility,20000,Parking,0,2007,1,95,Whole Building,,84,94.9,,52.1,,,,,,,,,,,,,3117300,,1827467,535599.9,,,,327.6,165.6,162,,,Not found,4/10/2018,Not found
1363,3616678,Spring Creek Towers (WEGO & HCR),3616678,Spring Creek Towers (WEGO & HCR),"3044520135,3044520015;3044520125;3044520060;3044520325;3044350050;3044350001;3044520085;3044520001;3044520020;3044520200;3044350050;3044520105;3044520010; 3044520040","3044520135,3044520015;3044520125;3044520060;3044520325;3044350050;3044350001;3044520085;3044520001;3044520020;3044520200;3044350050;3044520105;3044520010; 3044520040",3397020;3343583;3343590;3343584;3343585;3343586;3343587;3343588;3343589;3343591;3343595;3343596;3343597;3343592;3336173;3336177;3336174;3336175;3336176;3342906;3342907;3342908;3342901;3342902;3342903;3342904;3342905;3843388;3391210;3340239;3340240;3340241;3340243;3340244;3391208;3340238;3340242;3396722;3396723;3391209;3397019;3343598;3343599;3343600;3343601;3343602;3343603;3343604;3343605;3343606;3343607;3343608;3345673;3391207;3823956;3098297;3098293;3098299;3098298;3098295;3098300;3098296;3856729;3098291,155 Elmira Loop,,11239,Not found,Not found,Brooklyn, Not found ,7672280,Multifamily Housing,"Bank Branch, College/University, Fast Food Restaurant, Financial Office, K-12 School, Medical Office, Multifamily Housing, Office, Other, Other - Services, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant, Retail Store, Supermarket/Grocery Store",Multifamily Housing,7274115,Parking,871200,Other,141582,1971,57,100,Whole Building,Whole Building,3,212,,202.2,,,2,,6710474,,64703235.3,,,,,,1480029301,14985724.9,,,,,,83984.7,83984.7,0,111355.5,14.51,Not found,4/10/2018,Not found
1378,3987327,MS The Center for Science and Medicine,3987327,MS The Center for Science and Medicine,1016070005;1016077503,1-01607-0005;1-01607-7503,1088796; 1051489,4 E 102nd St,,10029,Not found,Not found,Manhattan, Not found ,925705,Other - Specialty Hospital,"Multifamily Housing, Other - Specialty Hospital",Other - Specialty Hospital,466900,Multifamily Housing,458805,,,2012,3,100,Whole Building,,,525.1,525.1,318.1,318.1,26.8,2.2,,4946200,,,,,,,,204792513.7,2047925.1,84719871.7,24829971.1,24829971.1,,,18755.8,11244.6,7511.2,,,Not found,4/10/2018,Not found
